[2025-11-08 22:23:20.175] [board_logger] [info] incoming json: {"file":"","file_anc":"","file_aux":"","ip_address":"","ip_address_anc":"","ip_address_aux":"","ip_port":0,"ip_port_anc":0,"ip_port_aux":0,"ip_protocol":0,"mac_address":"","master_board":-100,"other_info":"","serial_number":"","serial_port":"COM3","timeout":0}
[2025-11-08 22:23:20.176] [board_logger] [trace] Board object created 57
[2025-11-08 22:23:20.176] [board_logger] [info] openning port \\.\COM3
[2025-11-08 22:24:17.196] [board_logger] [info] incoming json: {"file":"","file_anc":"","file_aux":"","ip_address":"","ip_address_anc":"","ip_address_aux":"","ip_port":0,"ip_port_anc":0,"ip_port_aux":0,"ip_protocol":0,"mac_address":"","master_board":-100,"other_info":"","serial_number":"","serial_port":"COM3","timeout":0}
[2025-11-08 22:24:17.219] [board_logger] [trace] Board object created 57
[2025-11-08 22:24:17.219] [board_logger] [info] openning port \\.\COM3
[2025-11-08 22:24:17.246] [board_logger] [trace] port \\.\COM3 is open
[2025-11-08 22:24:17.266] [board_logger] [trace] set port settings
[2025-11-08 22:24:17.267] [board_logger] [trace] File Streamer, file: brainflow_data.csv, mods: w
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.268] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.269] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.270] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.271] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.271] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.271] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.271] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.271] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.272] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.273] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.274] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.275] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.276] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.277] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.278] [board_logger] [warning] Wrong end byte 0
